Realization,Block,Event,Allisonia,Belva,Bluestone,GlenLyn,Hilldale,Marmet,Pipestem,Queen Shoals,Radford,Summersville,Sutton,Thurmund,Tornado,Winfield
1,50,498,14647.77096,14903.3703,76467.59,78675.37539,3012.825741,72039.82,4504.766191,7101.297368,16380.43,7245.974065,6016.02,61643.53675,3707.232733,73575.60036
1,50,499,3928.469979,14897.08596,76134.02,78309.77799,1298.274756,72073.55,3244.074027,6980.771253,4786.15,1312.621288,916.42,61424.17036,20544.9036,73502.99129
1,50,500,7390.078111,15004.18893,76020.59,78319.42608,2301.766813,73250.3,3034.762645,8960.703773,8950.66,10049.33653,5572.47,62318.94094,14300.03151,77025.56312
1,50,501,17248.28238,18405.59495,75662.6,78055.53547,8162.108875,72644.85,17796.79834,16911.26986,20155.79,13241.35113,7700.26,61834.28086,25150.58659,75071.71115
1,50,502,17216.78769,14972.30865,76084.5,78224.38193,26181.63475,73010.14,4954.008321,9317.882877,23356.48,10618.86068,7712.31,63137.88481,2216.391614,75232.12372
1,51,503,10490.23793,24528.09439,75720.57,77928.16038,22400.69717,74751.87,2278.912569,14135.20577,11366.69,23086.12454,10631.2,63854.41734,27024.33972,79192.83318
1,51,504,4764.086733,15043.14012,75477.05,78186.80635,5810.03884,73044.22,446.8561999,7350.964532,5989.88,6917.455063,4022.25,62966.66148,1181.476413,75513.13818
1,51,505,15170.52528,15015.73345,79235.32,79887.40605,12271.54761,74261.75,6126.800568,7433.456794,23314.73,12388.0305,8938.38,63585.00486,8660.305875,77703.6202
1,51,506,12516.29871,15071.88787,78381.25,79778.68285,14779.02024,73789.19,4595.787542,7216.742251,16596.69,6191.004424,4234.07,63458.3646,3200.833884,75999.52859
1,51,507,9767.656557,25271.94732,78981.52,79599.27938,20800.55272,75888.29,5244.573629,12532.68532,11591.13,25320.95123,10327.21,64466.37389,20119.09959,86764.03533
1,51,508,6991.270385,15001.31834,75878.88,78210.56876,2021.237615,72620.41,2849.083444,8175.896942,8274.96,3555.114043,4071.7,61648.88817,5837.471806,76372.91375
1,51,509,38173.49034,15080.93328,79296.31,80390.9799,11985.1809,74184.94,5630.431734,7850.509027,43981.94,7359.304082,4797.52,63349.94142,12213.67545,77659.05459
1,51,510,81745.97941,27752.65813,125851.48,81257.62676,95510.2245,165000.93,38834.15046,11938.30804,87838.22,29813.75446,20211.23,135291.4259,13302.37419,166291.8451
1,51,511,42326.23894,15029.37956,78785.02,80402.57262,8377.746115,73225.97,4950.118981,7342.412614,49870.48,13120.71693,5810.62,62296.72839,6354.581505,76193.85772
1,51,512,5936.085131,15103.22755,77165.89,78788.0968,4770.322599,74009.65,3222.465464,11065.19471,7087.75,6680.631393,6087.37,62776.70485,9309.97195,79147.21765
1,51,513,3928.469979,15070.88975,76086.47,77937.50964,4578.384392,73983.84,3234.186978,7634.664425,4727.61,5307.37226,3077.44,62499.52846,16473.81187,77529.45043
1,51,514,4032.612886,14976.28024,75007.78,77710.03921,23506.12642,73098.95,1084.697264,12047.0858,5051.93,23007.90836,34357.12,62758.32899,4912.550415,76358.38201
1,51,515,25474.83458,15021.35796,77646.24,79467.10291,2185.705916,72893.07,3673.663507,7285.941707,28414.03,3041.38062,3221.95,62225.78037,5501.28655,75896.29408
1,51,516,26253.23373,18190.0127,78602.12,79787.95511,18953.88477,75136.81,4191.912531,16848.80822,29762.2,16848.6766,9624.8,63937.43432,21798.2836,81465.36503
1,52,517,23967.64291,15078.21825,80576.2,81029.73599,10258.40382,74240.71,4838.927967,10051.15661,26792.22,9382.178093,7771.24,63696.74471,4763.499683,77415.06404
1,52,518,30226.3832,19397.95519,77088.27,79193.23257,20449.73797,74231.63,3869.139648,19511.36719,35765.76,17871.44387,15049.33,62668.33682,21365.88826,87989.34828
1,52,519,3928.469979,14963.98803,74817.53,77689.42888,22933.53159,72734.07,403.9963979,7495.851622,4727.61,10671.8142,13714.13,62776.92412,940.6169807,75066.47427
1,52,520,6260.620668,22673.58338,78409.09,78803.74369,30652.94285,84223.9,12844.10749,18358.07206,7672.98,13640.37241,12939.02,63500.99847,9862.004783,96726.10318
